code,name
1,CHAIR DIP 01.jpg
2,CHAIR DIP 02.jpg
3,CHAIR DIP 03.jpg
4,PUSH-UP 05.jpg
5,PUSH-UP 06.jpg
6,TRICEPS ROLL-OUT 01.jpg
7,TRICEPS ROLL-OUT 02.jpg
8,TRICEPS ROLL-OUT 03.jpg
9,بازو بسته کرده پاها روی توپ
10,بالا آوردن مورب پاها آویزان
11,بالا آوردن پاها آویزان
12,بالارفتن از کوه با قرار دادن دست ها روی توپ سوئیسی
13,بالارفتن از کوه به صورت متفاطع به همراه قراردادن پاها بر روی توپ سوئیسی.jpg
14,جک نایف یک پا بر روی توپ سوئیسی
15,حرکت نیزهای روی توپ سوییسی
16,دراز نشست v شکل
17,سر خوردن با یک دست به سمت جلو با ولساید
18,سر خوردن به جلو ولساید
19,علتانتدن توپ سوییسی
20,علتاندن هالتر
21,پانک پا باز بالا اوردن دست و پای معکوس.jpg
22,پایین آوردن یک پا به صورت آویزان
23,پریدن از روی مانع به صورت آویزانت
24,پلانک روی توپ سوییسی و نیم کت.jpg
25,پلانک پا یاز بالا کشیدن یک دست مورب.jpg
26,پلانک پهلو پا روی توپ سوییسی.jpg
