code,name
1, لمس پله با حمایت (پله)
2, لمس کردن جایگزین استپ 
3,آروم خم شدن زانو
4,اسکات سولئوس
5,الفبای مچ پا
6,انتقال جانبی وزن 
7,انتقال وزن با استراتژی عقبی مچ پا
8,ایستادن اورژن مچ پا
9,ایستادن اینورژن مچ پا
10,ایستادن بدون حمایت پا چسبیده
11,ایستادن بدون حمایت پاها چسبیده به هم چشم بسته
12,ایستادن بدون حمایت
13,ایستادن تک پا 2
14,ایستادن تک پا رسیدن به جلو 
15,ایستادن تک پا و دستیابی جانبی
16,ایستادن تک پا و چشم های بسته
17,ایستادن و رسیدن به طرفین
18,بالا آوردن پاشنه (صندلی)
19,بالا آوردن پاشنه و انگشتان
20,بالا امدن پاشنه و انگشتان
21,تعادل (تخته تعادل)
22,تعادل استراتژی مچ پا
23,تعادل استراتژی هیپ 
24,تعادل استراتژی هیپ و دستیابی به جلو
25,تعادل استراتژی هیپ و دستیابی جانبی
26,تعادل استراتژی گام به جلو
27,تعادل انتقال وزن جانبی
28,تعادل با حمایت (تخته تعادل)
29,تعادل تغییر وزن به جلو و عقب
30,تعادل تک پا با بی ثباتی
31,تعادل تک پا بالا آوردن ساق و بی ثباتی
32,تعادل تک پا تمرکز به عضلات کف پا
33,تعادل تک پا در سراسر خط میانی
34,تعادل تک پا ساعتی
35,تعادل تک پا و دست ها بر روی پهلو
36,تعادل تک پا
37,تعادل نیمه زانو زدن درون خطی
38,تعادل نیمه زانو زدن و چرخش تنه
39,تعادل و حمایت جلو عقب (تخته تعادل)
40,خم کردن هیپ با تمرکز به جلو
41,خم کردن هیپ با چوب در پشت
42,دامنه اولیه هواپیما
43,دامنه مورب هیپ (صندلی)
44,دامنه مورب هیپ
45,دستیابی (تاب خوردن اغراق آمیز بازو به جلو)
46,رسیدن به جلو
47,قدم برداشتن (صندلی)
48,قدم زدن
49,محور جانبی دوطرفه
50,مهارت سریع قدم برداشتن
51,مهارت کریوکا
52,نیمه زانو زدن
53,هواپیمایی با حمایت (صندلی)
54,پا پشت سر هم جزئی و دستیابی به بالا
55,پا پشت سر هم جزئی و دستیابی جانبی
56,پا پشت سر هم خم و باز کردن گردن
57,پا پشت سر هم در یک محور
58,پا پشت سر هم دستیابی طرفین از وسط
59,پا پشت سر هم رسیدن به سراسر بدن
60,پا پشت سر هم و  باز شدن یک چهارم گردن
61,پا پشت سر هم و باز شدن یک چهارم گردن
62,پا پشت سر هم و دستیابی جانبی
63,پا پشت سر هم چرخش سر
64,پا پشت سر هم کامل و دستیابی به بالا 
65,پا پشت سر هم کامل
66,پا پشت سرهم جزئی و خم و باز شدن گردن
67,پا پشت سرهم جزئی و دستیابی در سراسر بدن
68,پا پشت سرهم جزئی و چرخش گردن
69,پا پشت سرهم و دستیابی جانبی (فوم)
70,پا پشت سرهم کامل (راه رفتن)
71,پا پشت سرهم کامل و دست ها به طرفین (فوم)
72,پا پشت سرهم کامل و چرخش سر (فوم)
73,پاشنه و انگشتان بالا آوردن
74,پیاده روی و قدم برداشتن اغراق آمیز
75,پیاده روی و قدم برداشتن پا پشت سرهم
76,پیاده روی پا پشت سرهم (Wall)
77,پیاده رویو چرخش سر
78,چرخش 360 درجه
79,چرخش خارجی هیپ و پاشنه سر خوردن به ساق
80,چرخش خارجی هیپ پاشنه به زانو مخالف
81,چرخش دایره ای مچ پا
82,چرخش لگن
83,چهار نقطه پا بالا چرخاندن
84,گام برداشتن جانبی ( حوله)
