code,name
1,اسکات با وزن بدن تکیه به توپ سوییسی
2,اسکات با وزن بدن تکیه به دیوار
3,اسکات با وزن بدن
4,اسکات زندانیان
5,اسکات سامو با دمبل از جلو
6,اسکات سامو
7,اسکات پرش انفجاری با وزن بدن
8,اسکات پرش با وزن بدن
9,اسکپشن و بالا انداختن شانه
10,اسکپشن
11,بارفیکس خوابیده پاروی معکوس کف دست ها رو به صورت
12,بارفیکس خوابیده پارویی معکوس تعدیل شده
13,بارفیکس خوابیده پارویی معکوس حمل وزنه
14,بارفیکس خوابیده کف دست ها یه جلو
15,بارفیکس کف دست هارو به صورت با کمک طناب
16,بالا کشیدن را  تک پا روی توپ مدیسینبال
17,بالا کشیدن را  تک پا روی فوم لوله شده
18,بالا کشیدن ران به شکل رژه روندگان
19,بالا کشیدن ران تک پا نگه داشتن زانو
20,بالا کشیدن ران تک پا
21,بالا کشیدن ران زانوی خم معکوس
22,بالا کشیدن ران معکوس
23,بالا کشیدن ران ها با وزنه
24,تمرین لت
25,جلو بازو  فشردن صفحه با انگشتان
26,جلو بازو با دمبل ایستاده با چرخش
27,جلو بازو با دمبل ایستاده1
28,جلو بازو با دمبل ایستاده
29,جلو بازو با دمبل میز شیب دار نشسته
30,جلو بازو با سیم کش
31,جلو بازو با هالتر لاری روی نیمکت
32,جلو بازو با هالتر لاری
33,جلو بازو با هالتر معکئس
34,جلو بازو چکشی همراه پرس تک پا روی نیمکت
35,جلو بازوئ یک دست ایستا
36,جلوبازو با هالتر
37,دمبل فلای روی میز شیبدار بالا
38,دمبل فلای روی میز شیبدار پایین
39,دمبل فلای
40,دور کردن ران با باند
41,شراگ با دمبل بالای سر
42,شراگ با دمبل
43,شراگ دندانه ای
44,شنا با دستان باز
45,شنا با دستان جمع یا نزدیک به هم
46,شنا با عقب و جلو گذاشتن دست ها
47,شنای تعدیل شده
48,شنای روی زمین
49,شنای صعودی
50,صلیب متناوب دستن ثابت
51,قدم ردن به سبک ورزشکاران روی اتنگشتان
52,لانچ با دمبل
53,لانچ باهالتر
54,لانچ به طرفین دمبل
55,لت  با دستان باز
56,لت 30 درجه
57,لت با دستان نزدیک به هم
58,لت زانو زده کف دست ها رو به صورت
59,لت زانوزده
60,لت کف دست ها به جلو
61,نزدیک کردن ران با سیم کش ایستاده
62,نزدیک کردن ران با ولساید
63,نشر t روی زمین
64,نشر y  روی زمین
65,نشر از جلو با دمبل
66,نشر از جلو با وزنه
67,نشر از جلو بغل
68,نشر بغل خوابیده به پهلو
69,نشر خم به همراه کف دستان رو به جلو چرخش خارجی دستان
70,نشر خم
71,نشر مورب بادمبل
72,نشربغل ترکیبی
73,نشرخم با دمبل خوابیده
74,نشرخم با چرخش داخلی دستان
75,نشرخم نشسته
76,نشرخک با سیم کش کراس
77,پارویی با دمبل روی نیمکت شیب دار بالا
78,پارویی با دمبل
79,پارویی با سیم کش دست باز
80,پارویی با سیم کش همراه با چرخش خارجی دست ها
81,پارویی با سیم کش کف دستان رو به هم
82,پارویی با سیم کش
83,پارویی باسیم کش دستگیره طنابی
84,پارویی تک دست ایستاده با حمایت دست دیگر چرخش داخلی دست
85,پارویی تک دست بازانو زدن بک پا روی میز
86,پرس سرشانه با دمبل
87,پرس سرشانه دمبل نشسته
88,پرس سینه با دستان حنثی به صورت متناوب
89,پرس سینه با دمبل بدون چرخش دست ها
90,پرس سینه با دمبل به صورت متناوب
91,پرس سینه با دمبل تک دست
92,پرس سینه با دمبل روی زمین
93,پرس سینه با دمبل
94,پشت با زو  خوابیده همراه با پولاور با دمبل
95,پشت بازو ایستا خوابیده به پشت
96,پشت بازو با دمبل خوابیده به پشت متناوب
97,پشت بازو با دمبل خوابیده به پشت
98,پشت بازو با دمبل خوابیده نیمکت مکث چندگانه
99,پشت بازو با هالتر لاری خوابیده به پشت میز شیب دار بالا
100,پشت بازو با هالتر لاری خوابیده به پشت
101,پشت بازو سیمکش کف دست به جلو
102,پشت بازو همراه پایین کشیدن سیم کش
103,پشت ران تک پا سر خردن
104,پشت ران سر خردن
105,پشت ساعد هالتر باز کردن مچ
106,پشت ساق پا با دمبل ایستاده
107,پشت ساق پا با دمبل تک پا خم به جلو
108,پشت ساق پا با دمبل تک پا خم زانو
109,پولاور باهالتر لاری
110,کلامشل
