code,name
1, لمس پله با حمایت (پله)
2, لمس کردن جایگزین استپ 
3,آروم خم شدن زانو
4,اسکات سولئوس
5,الفبای مچ پا
6,انتقال جانبی وزن 
7,انتقال وزن با استراتژی عقبی مچ پا
8,ایستادن اورژن مچ پا
9,ایستادن اینورژن مچ پا
10,ایستادن بدون حمایت پا چسبیده
11,ایستادن بدون حمایت پاها چسبیده به هم چشم بسته
12,ایستادن بدون حمایت
13,ایستادن تک پا 2
14,ایستادن تک پا 3
15,ایستادن تک پا با حمایت (صندلی)
16,ایستادن تک پا رسیدن به جلو 
17,ایستادن تک پا زمین
18,ایستادن تک پا و دستیابی جانبی
19,ایستادن تک پا و چشم های بسته
20,ایستادن تک پا
21,ایستادن و رسیدن به طرفین
22,ایستادن چشم های بسته بدون حمایت
23,بالا آوردن پاشنه (صندلی)
24,بالا آوردن پاشنه و انگشتان
25,بالا امدن پاشنه و انگشتان
26,تعادل (تخته تعادل)
27,تعادل استراتژی مچ پا
28,تعادل استراتژی هیپ 
29,تعادل استراتژی هیپ و دستیابی به جلو
30,تعادل استراتژی هیپ و دستیابی جانبی
31,تعادل استراتژی گام به جلو
32,تعادل انتقال وزن جانبی
33,تعادل با حمایت (تخته تعادل)
34,تعادل تغییر وزن به جلو و عقب
35,تعادل تک پا با بی ثباتی
36,تعادل تک پا بالا آوردن ساق و بی ثباتی
37,تعادل تک پا تمرکز به عضلات کف پا
38,تعادل تک پا در سراسر خط میانی
39,تعادل تک پا ساعتی
40,تعادل تک پا و دست ها بر روی پهلو
41,تعادل تک پا
42,تعادل نیمه زانو زدن درون خطی
43,تعادل نیمه زانو زدن و چرخش تنه
44,تعادل و حمایت جلو عقب (تخته تعادل)
45,خم کردن هیپ با تمرکز به جلو
46,خم کردن هیپ با چوب در پشت
47,دامنه اولیه هواپیما
48,دامنه مورب هیپ (صندلی)
49,دامنه مورب هیپ
50,دستیابی (تاب خوردن اغراق آمیز بازو به جلو)
51,رسیدن به جلو
52,قدم برداشتن (صندلی)
53,قدم زدن
54,محور جانبی دوطرفه
55,مهارت سریع قدم برداشتن
56,مهارت کریوکا
57,نیمه زانو زدن
58,هواپیمایی با حمایت (صندلی)
59,پا پشت سر هم جزئی و دستیابی به بالا
60,پا پشت سر هم جزئی و دستیابی جانبی
61,پا پشت سر هم خم و باز کردن گردن
62,پا پشت سر هم در یک محور
63,پا پشت سر هم دستیابی طرفین از وسط
64,پا پشت سر هم رسیدن به سراسر بدن
65,پا پشت سر هم و  باز شدن یک چهارم گردن
66,پا پشت سر هم و باز شدن یک چهارم گردن
67,پا پشت سر هم و دستیابی جانبی
68,پا پشت سر هم چرخش سر
69,پا پشت سر هم کامل و دستیابی به بالا 
70,پا پشت سر هم کامل
71,پا پشت سرهم جزئی و خم و باز شدن گردن
72,پا پشت سرهم جزئی و دستیابی در سراسر بدن
73,پا پشت سرهم جزئی و چرخش گردن
74,پا پشت سرهم و دستیابی جانبی (فوم)
75,پا پشت سرهم کامل (راه رفتن)
76,پا پشت سرهم کامل و دست ها به طرفین (فوم)
77,پا پشت سرهم کامل و چرخش سر (فوم)
78,پا پشت سرهم(فوم)
79,پاشنه و انگشتان بالا آوردن
80,پیاده روی و قدم برداشتن اغراق آمیز
81,پیاده روی و قدم برداشتن پا پشت سرهم
82,پیاده روی پا پشت سرهم (Wall)
83,پیاده رویو چرخش سر
84,چرخش 360 درجه
85,چرخش خارجی هیپ و پاشنه سر خوردن به ساق
86,چرخش خارجی هیپ پاشنه به زانو مخالف
87,چرخش دایره ای مچ پا
88,چرخش لگن
89,چهار نقطه پا بالا چرخاندن
90,گام برداشتن جانبی ( حوله)
