name,translation
Airplane (Bounder),هواپیما (ترامپولین)
Ankle Eversion (Wedge Resisted),اورژن مچ پا (تخته مقاومت )
Ankle Inversion (Wedge Resisted),اینورژن مچ پا (تخته مقاومت) 
Deadlift Single Leg to Single Arm Row (Band),ددلیفت تک پا به تک دست کشیدن (کش)
Gentle Bouncing (Bounder),جهش ملایم (ترامپولین)
Jump and Turn 180 (Bounder),پرش و چرخش 180 (ترامپولین)
Jump and Turn 90 (Bounder),پرش و چرخش 90 (ترامپولین)
Jump from Floor (Bounder),پرش از زمین (ترامپولین)
Jumping (Bounder),پرش (ترامپولین)
Jumping Jacks (Bounder),پروانه (ترامپولین)
Lateral Jump from Floor (Bounder),پرش جانبی از طبقه (ترامپولین)
Lateral Lunge (Bosu),لانج جانبی دست ها به جلو(بوسوبال)
Lateral Lunge Arms Forward (Bosu),لانج جانبی (بوسوبال)
Lateral Single Leg Jump from Floor (Bounder),پرش تک پا جانبی از زمین(ترامپولین)
Lateral Step Up (Bosu),بالا رفتن جانبی (بوسوبال)
Lateral Weight Shift (Bounder),انتقال جانبی وزن با حمایت (ترامپولین)
Lateral Weight Shift Supported (Bounder),انتقال وزن جانبی (ترامپولین)
Lunge Forward ( Bosu),لانج به جلو (بوسوبال)
Marching (Bosu)1,قدم زدن (بوسوبال)1
Marching (Bosu)2,قدم زدن (بوسوبال)2
Marching (Bounder),قدم زدن (ترامپولین)
Single Leg Balance (Bosu)1,تعادل تک پا (بوسوبال)1
Single Leg Balance (Bosu)2,تعادل تک پا (بوسوبال)2
Single Leg Balance (Foam Roller),تعادل تک پا (فوم رولر)
Single Leg Jump from Floor (Bounder),پرش تک پا از زمین (ترامپولین)
Single Leg Jumping (Bounder),پرش تک پا (ترامپولین)
Single Leg Squat (Bounder),اسکوات پا (ترامپولین)
Single Leg Stance (Bosu and Stick)1,ایستادن تک پا (بوسوبال چوب)1
Single Leg Stance (Bosu and Stick)2,ایستادن تک پا (بوسوبال چوب)2
Single Leg Stance Supported (Bounder),ایستادن تک پا با حمایت (ترامپولین)
Single Leg Stance Supported (Chair),ایستادن تک پا با حمایت (صندلی)
Split Squat Sliding (Towel),سرخوردن اسکوات (حوله)
Squat (Bounder),اسکوات (ترامپولین)
Squat Posterior Resistance,اسکوات مقاوت در پشت
Squat Single Leg  Diagonal Slide 45° (Towel),اسکوات تک پا سر خوردن مورب 45 (حوله)
Squat Single Leg  Lateral Slide (Towel),اسکوات سر خوردن جانبی تک پا  (حوله)
Squat Single Leg Diagonal Slide 45° (Towel),اسکوات تک پا همراه سر دادن در زاویه 0 45 90  ( حوله)
Step Up (Bosu),بالا رفتن (بوسوبال)
Tilt Board Balance Front Back,تعادل جلو عقب تخته تعادل
Tilt Board Balance Lateral,تعادل جانبی تخته نعادل
Tilt Board Balance Single Leg Front Back,تعادل تک پا جلو عقب تخته تعادل
Tilt Board Touches  Front Back,لمس جلو عقب تخته تعادل
Tilt Board Touches Lateral,لمس کردن جانبی تخته تعادل
Tilt Board Touches Single Leg Front Back,لمس تک پا جلو عقب تخته تعادل
Trunk Rotation Rear Foot Elevated (Stick),چرخش تنه بالا آوردن پاهای لخت  (چوب)
Airplane - Early Range,دامنه اولیه هواپیما
Airplane - Supported (Chair),هواپیمایی با حمایت (صندلی)
Alternating Step Touch - Supported (Rail), لمس جایگزین استپ  با حمایت
Alternating Step Touch, لمس جایگزینی استپ
Ankle Alphabet,الفبای مچ پا
Ankle Circles,چرخش دایره ای مچ پا
Balance (Wobble Board),تعادل تخته تعادل
Balance - Ankle Strategy,تعادل استراتژی مچ پا
Balance - Forward + Backward Weight Shift,تعادل تغییر وزن به جلو و عقب
Balance - Forward Stepping Strategy,تعادل استراتژی گام به جلو
Balance - Front-Back - Support (Wobble Board),تعادل و حمایت جلو عقب (تخته تعادل)
