code,name
1,بالا رفتن از کوه
2,بالا کشیدن همسترینگ
3,بالارفتن از کوه با قرار دادن دست ها روی نیمکت
4,بالارفتن از کوه به صورت متقاطع(صلیبی)
5,تاب دادن یک پا به داخل و خارج
6,تثبیت ناحیه مرکزی بدن و چرخش دست ها
7,تک پا چهار درست و پا
8,حرکت دادن هیپ ها متقاطع
9,خک شدن به طرفین با گرفتن دمبل ها در بالا سر
10,دراز نشست مک گیل
11,دراز نشست
12,دراز و نشست با حمل وزنه
13,دراز و نشست با دستان ضربدری(صلیبی)
14,دراز و نشست به صورت متناوب (چرخشی)
15,دراز و نشست به صورت معکوس
16,دراز و نشست تعدیل شده
17,دراز و نشست مک گیل(نیم خیز)
18,درست و پا
19,دست و پای معکوس چهار دست و پا
20,راه رفتن روی دست
21,شتر گربه
22,شنا
23,ضربه شکم
24,فیله ایستا
25,قدم زدن خوابیده به پشت
26,قیچی
27,لانج بلند
28,نشستن به دیوار
29,پایین آوردن یک پا با کنترل
30,پلانک 45 درجه
31,پلانک دستان باز
32,پلانک زانو زده
33,پلانک لغزشی
34,پلانک پاهای بالا 
35,پلانک پهلو تعدیل شده
36,پلانک پهلو جمع زانو
37,پلانک پهلو و خمش شدن
38,پلانک پهلو
39,پلانک
40,چرخش  روسی
41,چرخش به صورت زانو زدن تک پا
42,چرخش روسی با وزنه
43,چرخش روسی
44,چرخش مهره ها
45,کبری دمر
46,کرانچ با حمل وزنه
47,کرانچ با دستان ضربدری (صلیبی)
48,کرانچ با رساندن مچ دست به زانوها (چرخشی)
49,کرانچ با پاهای بالا کشیده
50,کرانچ به طرفین
51,کرانچ متقاطع
52,کرانچ معکوس
53,کرانچ
54,کشش تاندون
55,کشیدن دمبل به منار بدن
56,گام های کوچک
