code,name
1,اسکات با دمبل
2,اسکات با قرار گرفتن وزنه جلوی بدن
3,اسکات با هالتر  از جلو با دستان صلبیبی
4,اسکات با هالتر از جلو
5,اسکات با هالتر روی دنجه پاها
6,اسکات با هالتر همراه پاشنه بالا کشیده شده
7,اسکات با هالتر پا باز
8,اسکات با هالتر
9,اسکات با وزن بدن همراه فشار خارجی زانو ها
10,اسکات تک پا روی جعبه
11,اسکات جام شکل پا باز
12,اسکات جام شکل
13,اسکات جهشی با دمبل
14,اسکات دمبل بالای سر
15,اسکات دو بخشی با التر بالا گذاشتن پای جلویی
16,اسکات دو بخشی با التر بالا گذاشتن پای عقبی
17,اسکات دو بخشی با دمبل بالا گذاشتن پای جلویی
18,اسکات دو بخشی با دمبل بالا گذاشتن پای عقبی
19,اسکات دو بخشی با دمبل
20,اسکات دو بخشی با نگه داشتن دمبل بالای سر
21,اسکات دو بخشی با هالتر از جلو
22,اسکات دو بخشی با هالتر
23,اسکات دو بخشی
24,اسکات چارکی با هالتر
25,اکات تک پا
26,بارفیکس با چرخش داخلی یک دست و چرخش خارجی دست دیگر
27,بارفیکس خوابیده پارویی معکوس آویزان
28,بارفیکس خوابیده پارویی معکوس با حوله
29,بارفیکس دست باز کف دست ها رو به جلو
30,بارفیکس دست جمع
31,بارفیکس کف دست ها رو به جلو
32,بارفیکس کف دست ها رو به صورت
33,باز کردن تنه به سمت عقب تک پا
34,باز کردن تنه به سمت عقب
35,بالا کشیدن را  تک پا روی میز
36,بالا کشیدن ران توپ سوییسی  معکوس
37,بالا کشیدن ران توپ پاها روی توپ یوییسی
38,بالا کشیدن ران تک پا روی توپ سوییسی  و حرکت پشت ران
39,بالا کشیدن ران تک پا سر روی توپ سوییسی
40,بالا کشیدن ران تک پا سر روی فاوپ بوسو
41,بالا کشیدن ران تک پا قرار دادن پا روی تخته
42,بالا کشیدن ران تک پا قرار دادن پا روی نوپ بوسو
43,بالا کشیدن ران روی توپ سوییسی  و حرکت پشت ران
44,بالا کشیدن ران زانوی خم توپ سوییسی معکوس
45,بالا کشیدن ران ها همراه فشار دادن زانو ها به خارج
46,بالا کشیدن ران همراه با فشار زانو
47,بالا کشیدن ران و لگن  سر روی توپ سوییسی
48,بالا کشیدن ران و لگن سر روی فاوپ بوسو
49,بالا کشیدن ران
50,بانچ با دمبل روی جعبه معکوس
51,بانچ به طرفین
52,بانچ دمبل به طرفین همراه تماس با زمین
53,بلند شدن از روی زمین تک پا
54,تاب دادن دمبل به صورت تک دست بین پاها
55,تبدیل حرکت پشت بازو خوابیده به پشت به پرس سینه دست جمع
56,جلو بازو با  هالتر لاری دست باز
57,جلو بازو با دمبل ایستاده یک پا
58,جلو بازو با سیم کش چکشی
59,جلو بازو با هالتر همراه مکص چندگانه
60,جلو بازو چند مرحله
61,جلو بازو چکشی همراه پرس تک پا روی نیمکت
62,جلو بازو چکشی همراه پرس سرشانه
63,جلو ساعد هالتر
64,جلوبازو با هالتر دست باز
65,جلوبازو با هالتر لاری دست جمع
66,حرکت جلوبازو زوتمن ایستاده
67,دمبل فلای توپ سوییسی
68,دور مردن ران با سیمکش ایستاده مقاومت باند
69,دور مردن ران با سیمکش ایستاده
70,شراگ با هالتر
71,شراگ دست باز
72,شراگ سراتوس
73,شنا با توپ بوسو
74,شنا با حمل وزنه
75,شنا با دستان لوزی شکل (سه سر)
76,شنا با سه توقف
77,شنا با قرار دادن پاها پشت یکدیگر
78,شنا به سبک جودوکاران
79,شنا به صورت T
80,شنا به همرا حرکت پارویی با دمبل
81,شنای دو دوست روی مدیسینبال
82,شنای معلق
83,شنای نزولی
84,صلیب با دستان خک و چرخش خارجی
85,صلیب متمایل
86,فلای با سیم کش ایستاده
87,فیس چول با دمبل به همراه چرخش خارجی
88,قدم زدن با دمبل
89,قدم زدن به پهلو با باند
90,لانج با دمبل بالای سر
91,لانچ با دمبل تک دست معکوس
92,لانچ با دمبل تک دست
93,لانچ با دمبل رو جعبه
94,لانچ با دمبل معکوس خم به جلو
95,لانچ با دمبل همراه چرخش1
96,لانچ با دمبل همراه چرخش
