code,name
1,اسکات با هالتر جهشی
2,اسکات با هالتر دستان بالای سر
3,اسکات با هالتر کلنگی
4,اسکات تپانچه ای
5,اسکات دو بخشی بلعارستانی با هالتر
6,اسکات دو بخشی بلغارستانی با دمبل
7,اسکات زرچر
8,بارفیکس با حوله کف دست ها رو به جلو
9,بارفیکس با دیتان بدون چرخش
10,بارفیکس خوابده پارویی معکوس تک دست
11,بارفیکس خوابیده پارویی معکوس با پاهی بالا
12,بارفیکس خوابیده پارویی معکوس پاها روی توپ سوییسی
13,بارفیکس متقاطع دست ها ب جلو
14,بارفیکس معلق کف دست ها رو به جلو
15,بارفیکس منفس کف دست رو به صورت
16,بالا کشیدن ران به شکل رژه روندگان توپ سوییسی
17,جلو بازو با دمبل میز شیب دار بالا
18,جلو بازو با دمبل میز شیب دار نزولی
19,جلو بازو با سیم کش متناوب
20,جلو بازو با هالتر لاری روی توپ سوییسی
21,حرکت صبح بخیر زرچر
22,دیپ شیب دار
23,دیپ
24,شراگ با هالتر بالای سر
25,شنا با قرار دادن پاها روی توپ سوییسی
26,شنا به سبک مرد عنکبوتی
27,شنا روی توپ سوییسی
28,شنا روی مدیسینبال
29,شنای انفجاری متقاطع
30,شنای انفجاری
31,شنای تک دست روی مدیسینبال
32,شنای نزولی با یک پا
33,شنای پلاس توپ سوییسی
34,صبح بخیر با هالتر تک پا
35,صبح بخیر با هالتر دو بخشی
36,صبح بخیر با هالتر نشسته
37,صبح بخیر با هالتر
38,لیفت مرده  سامو
39,لیفت مرده با دمبل تک پا
40,لیفت مرده هالتر تک پا
41,لیفت مرده هالتر دست باز
42,لیفت مرده هالتر پا صاف تک پا
43,لیفت مرده هالتر پا صاف
44,لیفت مرده هالتر
45,لیفت مرده پا صاف دمبل تک پا
46,لیفت مرده پا صاف دمبل چرخش
47,نشر i  روی توپ سوییسی
48,نشر L  روی توپ سوییسی
49,نشر t  روی توپ سوییسی
50,نشر w  روی توپ سوییسی
51,نشر y روی توپ سوییسی
52,پارویی با دستان بدون چرخش و تک پا
53,پرس سرشانه با فشار پاها
54,پرس سرشانه با قیچی زدن پاها
55,پرس سرشانه معکوس روی زمینه
56,پرس سرشانه معکوس
57,پرش بلند روی جعبه
58,پرش دو بخشی با دمبل
59,پشت بازو با سیمکش بالای سر
60,پشت بازو با هالتر لاری بالای سر
61,پشت بازو با هالتر لاری خوابیده به پشت توپ سوییسی
62,پشت بازو با هالتر نشسته توپ سوییسی بالای سر
63,پشت بازو دمبل بالای سر توپ سوییسی
64,پله با هالتر از پهلو
65,پله با هالتر
66,پولاور  روی توپ یوییسی
67,کشیدن سیم کش از میان پپاها ب جلو
68,کشیدن سیم کش به طرف صورت مراه چرخش خارجی دستان خوابیده
69,کیک بک
