code,name
1,Airplane - Early Range
2,Airplane - Supported (Chair)
3,Alternating Step Touch - Supported (Rail)
4,Alternating Step Touch
5,Ankle Alphabet
6,Ankle Circles
7,Balance (Wobble Board)
8,Balance - Ankle Strategy
9,Balance - Forward + Backward Weight Shift
10,Balance - Forward Stepping Strategy
11,Balance - Front-Back - Support (Wobble Board)
12,Balance - Hip Strategy (A-P)
13,Balance - Hip Strategy + Forward Reach
14,Balance - Hip Strategy + Lateral Reach
15,Balance - Lateral Weight Shift
16,Balance - Support (Wobble Board)
17,Bilateral Sideways Pivot
18,Carioca Drill
19,Forward Reach
20,Four Point + Arm and Leg Raise - Alphabet
21,Full Tandem (Foam)
22,Full Tandem (Wall)
23,Full Tandem - Arms to Side (Foam)
24,Full Tandem - Cervical Extension Quadrant
25,Full Tandem - Cervical Flexion + Extension
26,Full Tandem - Head Rotation (Foam)
27,Full Tandem - Head Rotation
28,Full Tandem - Lateral Reach (Foam)
29,Full Tandem - Lateral Reach
30,Full Tandem - Reach Across Body (Foam)
31,Full Tandem - Reach Across Midline
32,Full Tandem - Upward Reach
33,Full Tandem
34,Half Kneeling Balance + Trunk Twist
35,Half Kneeling Balance- Inline
36,Half Kneeling
37,Heel + Toe Raise1
38,Heel + Toe Raise
39,Heel Raise (Ankle Weight)
40,Heel Raise - Toe Raise
41,Hip Diagonal D1 AROM (Chair)
42,Hip Diagonal D1 AROM
43,Hip External Rotation - Heel Slide on Shin
44,Hip External Rotation - Heel to Opposite Knee
45,Hip Hinge - Anterior Focus
46,Hip Hinge - Stick on Back
47,Knee Flexion AROM
48,Lateral Stepping (Towel)
49,Lateral Weight Shift
50,Marching (Chair)
51,Marching
52,Partial Tandem - Cervical Extension Quadrant
53,Partial Tandem - Cervical Flexion + Extension
54,Partial Tandem - Cervical Rotation
55,Partial Tandem - Lateral Reach
56,Partial Tandem - Reach Across Body
57,Partial Tandem - Reach Upwards
58,Pelvis Rotation
59,Quick Step Drill
60,Reach and Rock (Exaggerated Forward Arm Swing)
61,Single Leg Balance + UE Destabilization
62,Single Leg Balance - Clock
63,Single Leg Balance - Foot Intrinsic Focus
64,Single Leg Balance - Hands on Hips
65,Single Leg Balance
66,Single Leg Calf Raise Balancing + UE Destabilization
67,Single Leg Stance (Floor)
68,Single Leg Stance + Forward Reach
69,Single Leg Stance + Lateral Reach
70,Single Leg Stance + Reach Across Midline
71,Single Leg Stance - Eyes Closed
72,Single Leg Stance - Supported (Chair)
73,Single Leg Stance1
74,Single Leg Stance2
75,Single Leg Stance
76,Squat Soleus
77,Standing Ankle Eversion
78,Standing Ankle Inversion
79,Standing Unsupported - Eyes Closed
80,Standing Unsupported - Feet together + Eyes Closed
81,Standing Unsupported - Feet Together
82,Standing Unsupported
83,Step and Reach Across
84,Tandem Pivot
85,Tandem Walk (Wall)
86,Turn 360 Degrees
87,Walking - Exaggerated Stepping
88,Walking - Head Rotation
89,Walking - Tandem Stepping
90,Weight Shift - Ankle Strategy - Backwards
