code,name
1,اسکوات توانی
2,اسکوات تک پا روی استپ
3,بالا آوردن پا در حلت خوابیده به پهلو
4,بالا آوردن پاها با توپ مدیسنبال
5,بالارفتن از کوه با قرار دادن دست ها روی مدیسینبال
6,بالارفتن از کوه با قرار دادن پاها بر روی ولساید
7,به عقب رفتن تنه روی زانو
8,جمع کردن بدن روی فوم
9,جمع کردن پا داخل شکم
10,حرکت دادن ران ها به صورت متقاطع بر روی توپ سوئیسی
11,حشره مرده
12,دراز و نشست به صورت وی شکل تعدیل شده
13,دراز و نشست به صورت وی شکل همراه با مدیسینبال
14,دراز و نشست روی میز شیبدار به پایین
15,شنا  روی فوم
16,شنا کردن
17,شکم V
18,علتیدن پهلو توپ سوییسی
19,پایداری به شکل t
20,پایین آوردن پاها با کنترل
21,پرتاب مدیسینبال به زمین
22,پرتاب مدیسینبال به کنار
23,پرس عصلات مرکزی بدن سیم کش
24,پلانک بالا کشیدن تک پا
25,پلانک به پشت
26,پلانک روی حوله
27,پلانک زانوها به داخل و بالا
28,پلانک پاهای بالا تک پا  
29,پلانک پهلو تک پا
30,پلانک پهلو پا روی نیمکت
31,پلانک پهلو پارویی
32,پلانک پهلو پلبومتریکی
33,پلانک پهلو یک دسا زیر بدن
34,چاپ ایستاده
35,چاپ به صورت ایستاده و معکوس
36,چاپ معکوس به صورت زانو زده یک پا
37,چاپ معکوس چرخش زانو زده
38,چاپ همراه با زانو زدن یک پا
39,چاپ همراه با چرخش به صورت ایستاده1
40,چاپ همراه با چرخش به صورت ایستاده
41,چاپ همراه با چرخش به صورت دوبخشی و ایستاده
42,چاپ همراه با چرخش به صورت زانو زدن با یک پا1
43,چاپ همراه با چرخش به صورت زانو زدن با یک پا
44,چاپ همراه با چرخش زانو زده
45,چاپ همراه با چرخش، به صورت ایستادن دوبخشی
46,چرخش روسی به همراه بالا نگه داشتن پاها
47,چرخش روسی به همراه رکاب زدن
48,چرخش روسی روی توپ سوئیسی
49,چرخش هیپ
50,چرخشی
51,چهار دست و پا بالا اوردن دست و پای مخالف روی توپ سوییسی 
52,کرانچ ابتدایی
53,کرانچ با سیم کش ایستاده
54,کرانچ با کابل زانو زده
55,کرانچ به طرفین توپ سوییسی
56,کرانچ روی توپ سوئیسی با حمل وزنه
57,کرانچ روی توپ سوییسی
58,کرانچ معکوس با فوم غلتان همراه با دمبل
59,کرانچ معکوس با فوم غلتان همراه با مدیسینبال
60,کرانچ معکوس روی توپ سوئیسی
61,کرانچ معکوس روی میز با فوم غلتان
62,کرانچ معکوس روی میز شیبدار به بالا
63,کرانچ مورب
64,کشیدن سیم کش به کنار بدن زانو زده معکوس
65,کشیدن سیم کش به کنار بدن زانو زده
