code,name
1, دیپ با صندلی
2,بازو بسته کرده پاها روی توپ
3,بالا آوردن مورب پاها آویزان
4,بالا آوردن پاها آویزان
5,بالارفتن از کوه با قرار دادن دست ها روی توپ سوئیسی
6,بالارفتن از کوه به صورت متفاطع به همراه قراردادن پاها بر روی توپ سوئیسی
7,جک نایف یک پا بر روی توپ سوئیسی
8,حرکت نیزهای روی توپ سوییسی
9,دراز نشست v شکل
10,سر خوردن با یک دست به سمت جلو با ولساید
11,سر خوردن به جلو ولساید
12,شنا روی توپ
13,علتانتدن توپ سوییسی
14,علتاندن هالتر
15,غلتیدن روی فوم
16,پانک پا باز بالا اوردن دست و پای معکوس
17,پایین آوردن یک پا به صورت آویزان
18,پریدن از روی مانع به صورت آویزانت
19,پلانک روی توپ سوییسی و نیم کت
20,پلانک پا یاز بالا کشیدن یک دست مورب
21,پلانک پهلو پا روی توپ سوییسی
