code,name
1,اسکات سامو انتها ایستاده
2,اسکات پرش
3,تاب دادن دست در جلوی بدن متقاطع
4,تاب دادن پا به طرفین
5,تاب دادن پا عقب و جلو
6,حرکت دادن پشت ساق پا روی فوم غلتان
7,حرکت دادن کشاله ران فوم غلتان
8,حرکت عضلات سرینی روی فوم غلتان1
9,حرکت عضلات سرینی روی فوم غلتان
10,حرکت عضلات چهارسر و خم کننده ران فوک غلتان
11,حرکت فرشته
12,حرکت قسمت قوقانی پشت فوم غلتان
13,حرکت متف با فوم غلتان
14,حرکت نوار ایلیوتیبال روی فوم غلتان
15,خزش روی زمین
16,خم مچ به بالا
17,خم کردن و بالا بردن دستان
18,خوابیده به پشت بالا آوردن پا
19,خوابیده به پهلو یک پا بالا
20,دایره ای  شکل شانه
21,دایره ای شکل دستان
22,دورانی مچ پا
23,راه رفتن همراه بلند کردن پاها
24,سر خوردن به پهلو
25,سرخوردن به پشت روی دیوار
26,عبور زیر طناب
27,قدم زدن زانو بلند
28,قدم زدن زانو در بغل
29,قدم زدن همراه کشیدن پاشنه به نشیمنگاه
30,قدم زدن پا گهواره ای
31,لانچ به طرفین
32,لانچ خم به پهلو
33,لانچ معکوس چرخش و کشش بالا
34,لانچ معکوس کشش به عقب
35,لانچ مورب
36,لانچ نزدیک کردن آرنج به کف پا
37,لانچ چرخش بالا تنه نگه داشتن چوب بالای سر
38,پروانه جلو
39,پروانه
40,چرخش به داخل ران
41,چرخش داخلی ران
42,چرخش قفسه سینه خوابیده به پهلو
43,چرخش قفسه سینه
44,چرخش گردن
45,کشش دست ها پشت شانه ها
46,کشش غلتش بالا بردن
47,کمر بر روی فوم غلتان
48,گام به پهلو
49,گروینرز
