code,name
1, پرش تک پا(ترامپولین)
2,اسکوات (ترامپولین)
3,اسکوات تک پا سر خوردن مورب 45 (حوله)
4,اسکوات تک پا همراه سر دادن در زاویه 0 45 90  ( حوله)
5,اسکوات تک پا(ترامپولین)
6,اسکوات سر خوردن جانبی تک پا  (حوله)
7,اسکوات مقاوت در پشت
8,انتقال جانبی وزن با حمایت (ترامپولین)
9,انتقال وزن جانبی (ترامپولین)
10,اورژن مچ پا تخته مقاومت 
11,ایتادن تک پا (بوسوبال چوب)
12,ایستادن تک پا (بوسوبال چوب)2
13,ایستادن تک پا با حمایت (ترامپولین)
14,ایستادن تک پا با حمایت (صندلی)
15,اینورژن مچ پا تخته مقاومت 
16,بالا رفتن (بوسوبال)
17,بالا رفتن جانبی (بوسوبال)
18,تعادل تک پا (بوسوبال)1
19,تعادل تک پا (بوسوبال)2
20,تعادل تک پا (فوم رولر)
21,تعادل تک پا جلو عقب تخته تعادل
22,تعادل جانبی تخته نعادل
23,تعادل جلو عقب تخته تعادل
24,جهش ملایم (ترامپولین)
25,ددلیفت تک پا به تک دست کشیدن (کش)
26,سرخوردن اسکوات (حوله)
27,قدم زدن (بوسوبال)1
28,قدم زدن (بوسوبال)2
29,قدم زدن (ترامپولین)
30,لانج به جلو (بوسوبال)
31,لانج جانبی (بوسوبال)1
32,لانج جانبی (بوسوبال)2
33,لانج جانبی (بوسوبال)
34,لانج جانبی دست ها به جلو(بوسوبال)
35,لمس تک پا جلو عقب تخته تعادل
36,لمس جلو عقب تخته تعادل
37,لمس کردن جانبی تخته تعادل
38,هواپیما (ترامپولین)
39,پرش (ترامپولین)
40,پرش از زمین (ترامپولین)
41,پرش از زمین تک پا (ترامپولین)
42,پرش تک پا جانبی از زمین(ترامپولین)
43,پرش جانبی از طبقه (ترامپولین)
44,پرش و چرخش 180 (ترامپولین)
45,پرش و چرخش 90 (ترامپولین)
46,پروانه (ترامپولین)
47,چرخش تنه بالا آوردن پاهای لخت  (چوب)
